Product,Model,GA Date,EOL Date,EOPS Date,EOSL Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include?,GA Updated?,EOL Updated?,EOPS Updated?,EOSL Updated?,Date Red to Black,Longest Proudct Name
CLARiiON AX4,AX4-5FDC,1-Sep-08,30-Jun-14,30-Jun-19,30-Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,yes,yes,yes,1-Dec-15,12
CLARiiON AX4,AX4-5FSC,10-Jan-08,30-Jun-14,30-Jun-19,30-Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,yes,yes,yes,1-Dec-15,12
CLARiiON AX4,AX4-5FSCX,7-Dec-09,30-Jun-14,30-Jun-19,30-Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,yes,yes,yes,1-Dec-15,12
CLARiiON AX4,AX4-5FSCX-750,7-Dec-09,30-Jun-14,30-Jun-19,30-Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,yes,yes,yes,1-Dec-15,12
CLARiiON AX4,AX4-5FX,7-Dec-09,30-Jun-14,30-Jun-19,30-Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,yes,yes,yes,1-Dec-15,12
CLARiiON AX4,AX4-5I,10-Jan-08,30-Jun-14,30-Jun-19,30-Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,NO,yes,yes,yes,1-Dec-15,12
CLARiiON AX4,AX4-5IDC,1-Sep-08,30-Jun-14,30-Jun-19,30-Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,NO,yes,yes,yes,1-Dec-15,12
CLARiiON AX4,AX4-5ISC,10-Jan-08,30-Jun-14,30-Jun-19,30-Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,NO,yes,yes,yes,1-Dec-15,12
CLARiiON CX,CX200,1-Feb-03,30-Sep-04,30-Sep-09,30-Sep-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,11
CLARiiON CX,CX200LC,1-Feb-03,30-Sep-04,30-Sep-09,30-Sep-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,11
CLARiiON CX,CX-2DDAE-FD,1-May-05,31-Dec-08,31-Mar-14,31-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,11
CLARiiON CX,CX-2GDAE,1-Aug-02,31-Dec-08,31-Mar-14,31-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,11
CLARiiON CX,CX300,1-Feb-04,30-Jun-08,30-Jun-13,30-Jun-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,11
CLARiiON CX,CX300DC,1-May-05,31-Dec-07,31-Dec-11,31-Dec-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,11
CLARiiON CX,CX300i,1-Apr-05,30-Jun-07,31-Dec-11,31-Dec-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,no,No,No,1-Dec-15,11
CLARiiON CX,CX400,1-Oct-02,30-Sep-04,30-Sep-09,30-Sep-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,11
CLARiiON CX,CX500,1-Feb-04,31-Dec-06,31-Dec-11,31-Dec-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,11
CLARiiON CX,CX500DC,1-May-05,30-Jun-07,31-Dec-11,31-Dec-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,11
CLARiiON CX,CX500i,1-Feb-05,31-Dec-06,31-Dec-11,31-Dec-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,11
CLARiiON CX,CX600,1-Aug-02,30-Sep-04,30-Sep-09,30-Sep-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,11
CLARiiON CX,CX700,1-Feb-04,31-Dec-06,31-Dec-11,31-Dec-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,11
CLARiiON CX,CX700DC,1-Jun-05,30-Jun-07,31-Dec-11,31-Dec-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,11
CLARiiON CX3,CX3-10C,1-Feb-07,31-Mar-09,31-Mar-14,31-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,12
CLARiiON CX3,CX3-10DC,1-Jul-07,31-Mar-09,31-Mar-14,31-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,12
CLARiiON CX3,CX3-20,1-May-06,31-Mar-07,31-Mar-14,31-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,12
