Product,Model,GA Date,EOL Date,EOPS Date,EOSL Date,Include?,GA Updated?,EOL Updated?,EOPS Updated?,EOSL Updated?,Date Red to Black,,,,,,,,,,
CLARiiON,CX700DC,01-Jun-2005,30-Jun-2007,31-Dec-2011,31-Dec-2011,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,FC45xx,01-Apr-2000,30-Sep-2003,30-Sep-2008,30-Sep-2008,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,FC4700,01-Jan-2001,31-Mar-2002,30-Sep-2008,30-Sep-2008,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,FC4700-2,01-Nov-2001,30-Sep-2003,30-Sep-2008,30-Sep-2008,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,FC53xx,01-Jul-1999,30-Sep-2002,30-Sep-2007,30-Sep-2007,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,FC55xx,01-Feb-1997,31-Jul-2001,31-Jul-2006,31-Jul-2006,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,FC57xx,01-Apr-1998,31-Jul-2001,31-Jul-2006,31-Jul-2006,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,IP4700,01-Nov-2000,31-Dec-2002,31-Dec-2007,31-Dec-2007,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Connectrix - ANCOR,DS-16A,01-Sep-2000,30-Jun-2001,30-Jun-2006,30-Jun-2006,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Connectrix - Brocade,3250-VL2E,01-Sep-2004,31-Dec-2005,31-Dec-2010,31-Dec-2010,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Connectrix - Brocade,AP-7420B,01-Sep-2004,31-Jan-2008,31-Jan-2013,31-Jan-2013,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Connectrix - Brocade,AP-7600B,01-Nov-2007,15-Apr-2013,31-Mar-2018,31-Mar-2018,Yes,No,Yes,Yes,Yes,31-Aug-2012,,,,,,,,,,
Connectrix - Brocade,DP3-SCB1,01-Aug-2001,31-Aug-2003,31-Aug-2008,31-Aug-2008,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Connectrix - Brocade,DS-16B,01-Mar-2000,28-Feb-2002,28-Feb-2007,28-Feb-2007,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Connectrix - Brocade,DS-16B2,01-Nov-2001,31-Dec-2004,31-Dec-2009,31-Dec-2009,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Connectrix - Brocade,DS-16B3,01-May-2004,31-Dec-2005,31-Dec-2010,31-Dec-2010,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Connectrix - Brocade,DS-220B,01-Oct-2005,31-Jan-2009,31-Jan-2014,31-Jan-2014,Yes,No,No,Yes,Yes,31-Jan-2010,,,,,,,,,,
Connectrix - Brocade,DS-300B (4G Switch),14-Jul-2008,31-Jul-2010,,,Yes,No,No,Yes,Yes,30-Sep-2010,,,,,,,,,,
Connectrix - Brocade,DS-300B-8G (8G Switch),04-Jan-2010, , , ,Yes,Yes,No,No,No,31-Aug-2010,,,,,,,,,,
Connectrix - Brocade,DS-32B2,01-Nov-2002,31-Jul-2005,31-Jul-2010,31-Jul-2010,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Connectrix - Brocade,DS-4100B,01-Feb-2005,31-Jan-2008,31-Jan-2013,31-Jan-2013,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Connectrix - Brocade,DS-4900B,01-May-2006,31-Jan-2009,31-Jan-2014,31-Jan-2014,Yes,No,No,Yes,Yes,31-Jan-2010,,,,,,,,,,
Connectrix - Brocade,DS-5000B,01-Mar-2007,31-Jan-2009,31-Jan-2014,31-Jan-2014,Yes,No,No,Yes,Yes,31-Jan-2010,,,,,,,,,,
Connectrix - Brocade,DS-5100B (4G Switch),14-Jul-2008,31-Jul-2010,30-Apr-2018,30-Apr-2018,Yes,No,No,Yes,Yes,01-Oct-2012,,,,,,,,,,
Connectrix - Brocade,DS-5100B-8G (8G Switch),04-Jan-2010,08-Apr-2013,30-Apr-2018,30-Apr-2018,Yes,No,Yes,Yes,Yes,01-Oct-2012,,,,,,,,,,
Connectrix - Brocade,DS-5100B-EP,14-Jul-2008,31-Jul-2010,30-Apr-2018,30-Apr-2018,Yes,No,Yes,Yes,Yes,01-Oct-2012,,,,,,,,,,
